Id,Label,timeset,indegree,outdegree,degree,weighted indegree,weighted outdegree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,modularity_class,pageranks,componentnumber,strongcompnum,clustering,eigencentrality
91294187,91294187,,1,0,1,1,0,1,0,0,0,0,0.001068,0,33,0.000661,0,116,0,0.013018
83694969,83694969,,1,0,1,1,0,1,0,0,0,0,0.000274,0,26,0.000671,0,439,0,0.002219
150487094,150487094,,1,0,1,1,0,1,0,0,0,0,0,0,43,0.00083,34,600,0,0.002219
138447009,138447009,,1,0,1,1,0,1,0,0,0,0,0.081181,0,7,0.000651,0,319,0,0.006205
huanqie,huanqie,,1,0,1,1,0,1,0,0,0,0,0.003483,0,41,0.000658,0,82,0,0.01763
137054357,137054357,,1,0,1,1,0,1,0,0,0,0,0,0,48,0.00083,2,231,0,0.002219
25549206,25549206,,2,0,2,2,0,2,0,0,0,0,0.009395,0,15,0.000723,0,34,0,0.064131
snapezhang,snapezhang,,1,0,1,1,0,1,0,0,0,0,0.000006,0,20,0.000686,0,408,0,0.002219
40009604,40009604,,1,0,1,1,0,1,0,0,0,0,0.007209,0,49,0.000668,0,207,0,0.042986
61233441,61233441,,2,0,2,2,0,2,0,0,0,0,0.084663,0,41,0.000663,0,81,0,0.023835
sophie-hong,sophie-hong,,1,0,1,1,0,1,0,0,0,0,0.00019,0,26,0.000721,0,54,0,0.025273
78302802,78302802,,1,0,1,1,0,1,0,0,0,0,0.004561,0,50,0.00066,0,506,0,0.002219
114392806,114392806,,1,0,1,1,0,1,0,0,0,0,0.001152,0,7,0.000757,0,277,0,0.006205
54821248,54821248,,1,0,1,1,0,1,0,0,0,0,0.001068,0,33,0.000661,0,115,0,0.013018
59752532,59752532,,0,1,1,0,1,1,1,1,1,0,0,0.000287,41,0.000646,0,620,0,0
bvvian,bvvian,,2,0,2,2,0,2,0,0,0,0,0.003506,0,41,0.001208,0,80,0,0.019849
APRIL99,APRIL99,,3,0,3,3,0,3,0,0,0,0,0.000872,0,26,0.001074,0,49,0,0.040542
39233211,39233211,,1,2,3,1,2,3,1,1,1,11,0.00019,0.000398,26,0.000721,0,50,0.166667,0.025273
malasun7,malasun7,,1,0,1,1,0,1,0,0,0,0,0.081181,0,7,0.000651,0,318,0,0.006205
55426628,55426628,,2,0,2,2,0,2,0,0,0,0,0.082333,0,7,0.000761,0,276,0.5,0.012411
SnoopyVan,SnoopyVan,,0,4,4,0,4,4,2,0.7,0.785714,0,0,0.007668,33,0.000646,0,624,0.166667,0
xianshenghe,xianshenghe,,4,0,4,4,0,4,0,0,0,0,0.005235,0,33,0.000944,0,79,0.166667,0.03742
56474762,56474762,,1,5,6,1,5,6,1,1,1,3,0.000628,0.00068,33,0.000784,0,623,0.1,0.002219
penny1210,penny1210,,1,0,1,1,0,1,0,0,0,0,0.002186,0,15,0.000702,0,33,0,0.021144
bnaglowlow,bnaglowlow,,1,0,1,1,0,1,0,0,0,0,0.081181,0,7,0.000651,0,317,0,0.006205
75837069,75837069,,2,0,2,2,0,2,0,0,0,0,0.00804,0,22,0.000749,0,170,1,0.078759
potatoshop,potatoshop,,0,4,4,0,4,4,2,0.7,0.785714,0,0,0.000466,52,0.000646,0,627,0,0
